query,relevant_url
Jacques Kallis Proteas T20,https://www.dhakatribune.com/sport/cricket/398033/kallis-outlines-reasons-why-proteas-can-win-t20
Short Test matches Cricket Australia,https://www.dhakatribune.com/sport/cricket/399642/cricket-australia-boss-says-short-tests-bad-for
Ashes Australia glory,https://www.dhakatribune.com/sport/cricket/398224/ashes-glory-resilient-australia-adapt-on-the-go
MCG pitch rating ICC,https://www.dhakatribune.com/sport/cricket/399803/icc-rates-mcg-pitch-unsatisfactory-after-two-day
Intellectuals Day instructions,https://www.dhakatribune.com/bangladesh/398519/no-instructions-issued-for-observing-intellectuals
বুদ্ধিজীবী দিবস পালন নির্দেশনা,https://www.dhakatribune.com/bangladesh/398519/no-instructions-issued-for-observing-intellectuals
Shadab Khan Pakistan squad,https://www.dhakatribune.com/sport/cricket/399721/shadab-returns-to-pakistan-t20i-squad-for-sri
July killers press secretary,https://www.dhakatribune.com/bangladesh/politics/398044/press-secretary-bringing-back-the-july-killers-is
জুলাই হত্যাকারী ফেরত,https://www.dhakatribune.com/bangladesh/politics/398044/press-secretary-bringing-back-the-july-killers-is
Mustafizur Rahman IPL exclusion,https://www.dhakatribune.com/sport/cricket/400409/bcci-official-speaks-on-fizz-exclusion-says-they
Ben Stokes Ashes final,https://www.dhakatribune.com/sport/cricket/400141/what-stokes-said-ahead-of-huge-final-ashes-clash
Hay fifty debut New Zealand,https://www.dhakatribune.com/sport/cricket/398470/hay-fifty-on-debut-gives-new-zealand-lead-in-west
Damien Martyn induced coma,https://www.dhakatribune.com/sport/cricket/399927/australian-batting-great-damien-martyn-in-induced
BCB ICC T20 World Cup relocation,https://www.dhakatribune.com/sport/cricket/400265/bcb-writes-to-icc-seeking-relocation-of-t20-world
টি২০ বিশ্বকাপ স্থানান্তর বিসিবি,https://www.dhakatribune.com/sport/cricket/400265/bcb-writes-to-icc-seeking-relocation-of-t20-world
Mustafizur IPL response Dhaka,https://www.dhakatribune.com/bangladesh/government-affairs/400384/advisers-dhaka%E2%80%99s-response-to-mustafiz-ipl
Salman Khan 60th birthday,https://www.dhakatribune.com/showtime/399660/salman-khan-celebrates-60th-birthday-with
Usman Khawaja retirement,https://www.dhakatribune.com/sport/cricket/400561/emotional-khawaja-bows-out-for-final-time-with
উসমান খাজা অবসর,https://www.dhakatribune.com/sport/cricket/400561/emotional-khawaja-bows-out-for-final-time-with
Alex Carey century Ashes,https://www.dhakatribune.com/sport/cricket/398960/emotional-carey-slams-ton-to-give-aussies-upper
IPL broadcast suspended,https://www.dhakatribune.com/sport/cricket/400304/broadcasting-of-ipl-matches-suspended-in
Bhutan spinner 8 wickets,https://www.dhakatribune.com/sport/cricket/399873/bhutan-spinner-takes-eight-wickets-to-set-new-t20
Pat Cummins injury update,https://www.dhakatribune.com/sport/cricket/398180/australia-skipper-cummins-good-to-go-for
Brendon McCullum England Ashes,https://www.dhakatribune.com/sport/cricket/398694/mccullum-admits-england-have-been-nowhere-near
Bangladesh World Cup venue move,https://www.dhakatribune.com/sport/cricket/400436/media-icc-rejects-bangladesh%E2%80%99s-request-to-move
BPL Chattogram Royals,https://www.dhakatribune.com/sport/cricket/399535/chattogram-royals-owners-give-uo-on-bpl-over
Joe Root England captaincy,https://www.dhakatribune.com/sport/cricket/399782/root-against-changing-england-management-after
ICC Chair Bangladesh standoff,https://www.dhakatribune.com/sport/cricket/400802/bangladesh-standoff-a-litmus-test-for-icc-chair
Shakib Ritu Porna BKSP,https://www.dhakatribune.com/sport/other-sports/398473/shakib-ritu-porna-included-as-name-plaque-of-bksp
Josh Tongue England bowling,https://www.dhakatribune.com/sport/cricket/399598/history-maker-tongue-wants-more-of-the-same-from
Bangladesh T20 World Cup squad,https://www.dhakatribune.com/sport/cricket/400227/bangladesh-announce-squad-for-t20-world-cup
বাংলাদেশ টি২০ বিশ্বকাপ দল,https://www.dhakatribune.com/sport/cricket/400227/bangladesh-announce-squad-for-t20-world-cup
Tarique Rahman younger brother prayers,https://www.dhakatribune.com/bangladesh/399649/tarique-rahman-offers-prayers-at-younger-brother
তারেক রহমান আরাফাত রহমান কোকো,https://www.dhakatribune.com/bangladesh/399649/tarique-rahman-offers-prayers-at-younger-brother
Mirza Fakhrul referendum campaign,https://www.dhakatribune.com/bangladesh/politics/400845/mirza-fakhrul-referendum-campaign-is-not-bnp%E2%80%99s
Bangladesh ODI ranking,https://www.dhakatribune.com/sport/cricket/398846/ranking-crucial-for-bangladesh-ahead-of-odi-world
Arjuna Ranatunga arrest Sri Lanka,https://www.dhakatribune.com/sport/cricket/398838/sri-lanka-to-arrest-cricket-legend-ranatunga-on
রানাতুঙ্গা গ্রেফতার শ্রীলঙ্কা,https://www.dhakatribune.com/sport/cricket/398838/sri-lanka-to-arrest-cricket-legend-ranatunga-on
